record_type,port_path,status,classification,priority,sha1,sha256,reference_count,original_paths,notes,width,height,mode,bit_depth_estimate,has_alpha,alpha_min,alpha_max,transparent_pixels,partial_alpha_pixels,parse,frametime,interpolate,explicit_frames,frame_spec
PORT,aspects/vinculum.png,MATCH,EXACT_TC4_COPY,P2,97aae30f873aa539dae3fc1528ae084648519ca7,4c48f3f067806c9dbc736980a87805d5e4779589680021762e67e90478eaaa19,3,textures/aspects/vinculum.png,Byte-exact copy of an original TC4 asset.,32,32,RGBA,32,True,0,255,434,536,,,,,
PORT,aspects/vitium.png,MATCH,EXACT_TC4_COPY,P2,e5bda8e263fd19ff4739eac1c5f02815389f95ca,2809e4b7ccbf6ef15823e4bc7bf090df2c18c347d430dbc2c96b068a99410d61,3,textures/aspects/vitium.png,Byte-exact copy of an original TC4 asset.,32,32,RGBA,32,True,0,255,168,659,,,,,
PORT,aspects/vitreus.png,MATCH,EXACT_TC4_COPY,P2,1990624616389875d4aea49cecf28b109a9185d5,e7f3a702beb7229ae7388b588fa280234ecf78bd81d97fc98dbd737dabc93637,3,textures/aspects/vitreus.png,Byte-exact copy of an original TC4 asset.,32,32,RGBA,32,True,0,255,182,623,,,,,
PORT,aspects/volatus.png,MATCH,EXACT_TC4_COPY,P2,37860e23f2861d80f8230c33fb7dc9f1601462d2,59a09f9fb3ed6faa17037ad69e0715e320769d961867e7a24f476fa278816055,3,textures/aspects/volatus.png,Byte-exact copy of an original TC4 asset.,32,32,RGBA,32,True,0,255,467,412,,,,,
PORT,block/advanced_alchemical_furnace.png,MATCH,EXACT_TC4_COPY,P1,587cff433b6e41235f068fad31536188dbb2b372,dc4cfef7ce77f578585d0b657c27bc4b12c2b0ca3e2379d9e0d6c8e8a9ef0e1a,2,textures/blocks/alchemyblockadv.png,Byte-exact copy of an original TC4 asset.,32,32,RGBA,32,True,253,255,0,390,,,,,
PORT,block/advanced_node_stabilizer.png,MATCH,EXACT_TC4_COPY,P0,be8970104b28df35fbe28be1b2036ef2eeb859c6,2604fbf6f8f5f4e1002fe66d6019d1725fb96c1d8f094b8f9beeb91dba87f57f,1,textures/models/node_stabilizer_over.png,Byte-exact copy of an original TC4 asset.,32,32,RGBA,32,True,0,255,960,0,,,,,
PORT,block/aer_crystal.png,EXTRA,ADAPTED_OR_NEW,P1,bb04585e14f6e8372b29aa832b2eb593b005ed34,bedccc3e72884b6ff7add4dfd5aafa0010da27ea7d260cb9861b138479c87f9a,3,,"No byte-identical TC4 core asset; may be a modern adaptation, generated asset, migration/add-on resource, or a true visual deviation.",16,16,RGBA,32,True,183,183,0,256,,,,,
PORT,block/alchemical_centrifuge.png,MATCH,EXACT_TC4_COPY,P1,de1edb4d119db12aeedd1f077e20d8ad108c1f8a,780feabc1148f22f0d6d5521960ebb16a4fff46db87736667fbde7af2399f838,1,textures/models/centrifuge.png,Byte-exact copy of an original TC4 asset.,64,32,RGBA,32,True,0,255,1478,0,,,,,
PORT,block/alchemical_furnace.png,MATCH,EXACT_TC4_COPY,P1,9ee51fda85305e03883b6ec6e3849ad5c0135f8d,ab66c11e692756261cb3645bf73e0c03fdc8961ee52eabc6f961730afdd5ce50,8,textures/blocks/al_furnace_front_off.png,Byte-exact copy of an original TC4 asset.,16,16,RGB,24,False,255,255,0,0,,,,,
PORT,block/alchemyblockadv.png,MATCH,EXACT_TC4_COPY,P1,587cff433b6e41235f068fad31536188dbb2b372,dc4cfef7ce77f578585d0b657c27bc4b12c2b0ca3e2379d9e0d6c8e8a9ef0e1a,1,textures/blocks/alchemyblockadv.png,Byte-exact copy of an original TC4 asset.,32,32,RGBA,32,True,253,255,0,390,,,,,
PORT,block/alembic.png,MATCH,EXACT_TC4_COPY,P1,2391fc36153a3c868b29f7dbde23978bbb622958,346dd0000d48f1e287e8e01312b5df8d90eb2b5bf57ba058edfb6d65bca08e63,2,textures/blocks/alchemyblock.png,Byte-exact copy of an original TC4 asset.,32,32,RGB,24,False,255,255,0,0,,,,,
PORT,block/amber_block.png,MATCH,EXACT_TC4_COPY,P1,2f250fd224854a50dd8145e6fc9d144843536d01,94a054acfc153e045a851c0aab0fc7466ea187e3e8061798e9dbc6b02fde10b5,3,textures/blocks/amberblock.png,Byte-exact copy of an original TC4 asset.,16,16,RGBA,32,True,232,232,0,256,,,,,
PORT,block/amber_block_top.png,MATCH,EXACT_TC4_COPY,P1,f4a5b310d95e42de0fb84477fc278cd03271b747,9b23820b6dd86744941cd165b31d369748c9ed326f006febc6e5dc432435fa93,2,textures/blocks/amberblock_top.png,Byte-exact copy of an original TC4 asset.,16,16,RGBA,32,True,232,232,0,256,,,,,
PORT,block/amber_bricks.png,MATCH,EXACT_TC4_COPY,P1,73c2f9a5ee5d1eac467f4d2af1680bff69e4012f,7ec6cdd0b2e47729cce0f0f086dc8e07b701822514398576e89533be447c9a0d,3,textures/blocks/amberbrick.png,Byte-exact copy of an original TC4 asset.,16,16,RGBA,32,True,232,232,0,256,,,,,
PORT,block/amber_ore.png,MATCH,EXACT_TC4_COPY,P1,474965e3a4f453c37ca73f2522ed92bb985b110b,03c230cce33f26ae61504ca7177b795d859f71bc20c170371643bd6cc1501386,3,textures/blocks/amberore.png,Byte-exact copy of an original TC4 asset.,16,16,RGB,24,False,255,255,0,0,,,,,
PORT,block/aqua_crystal.png,EXTRA,ADAPTED_OR_NEW,P1,89224f785094ee2271192e7317e34eebe40d56ef,680e694876af2eeb0ffef6f79f73bac34d3cb25732294959ceb904e514c1af6d,3,,"No byte-identical TC4 core asset; may be a modern adaptation, generated asset, migration/add-on resource, or a true visual deviation.",16,16,RGBA,32,True,183,183,0,256,,,,,
PORT,block/arcane_assembler.png,EXTRA,ADAPTED_OR_NEW,P1,3c385ff6ccf1563544357eb7ad914b776ee943e3,a78b3e2d6ac14008e67d0a2415043614caf896e34e522b9b001efcac28c7a569,3,,"No byte-identical TC4 core asset; may be a modern adaptation, generated asset, migration/add-on resource, or a true visual deviation.",16,16,RGBA,32,False,255,255,0,0,,,,,
PORT,block/arcane_crafting_terminal.png,EXTRA,ADAPTED_OR_NEW,P1,c55b316aea86f9fbaf22946b3c73ec670f4a1a06,28ac3b88dfdad21439df3718e8d62652403da4d3429d7716756352dbc03355e2,4,,"No byte-identical TC4 core asset; may be a modern adaptation, generated asset, migration/add-on resource, or a true visual deviation.",32,32,RGB,24,False,255,255,0,0,,,,,
PORT,block/arcane_pattern_encoder.png,EXTRA,ADAPTED_OR_NEW,P1,670fd0ef0a9bbea0d12929456d0e2e4959930213,bfe89baa856ebc9479c5fbcab36e62d85115bfb8490a0233f38ba7a1508f7bad,3,,"No byte-identical TC4 core asset; may be a modern adaptation, generated asset, migration/add-on resource, or a true visual deviation.",32,32,RGBA,32,False,255,255,0,0,,,,,
PORT,block/arcane_pattern_provider.png,EXTRA,ADAPTED_OR_NEW,P1,99b2bdadfb618ad0caa27353bc85ba13c030461c,d34782c8d9d87c13851da13c6cedcac582557c3fb44122e37690d3678e094f31,3,,"No byte-identical TC4 core asset; may be a modern adaptation, generated asset, migration/add-on resource, or a true visual deviation.",16,16,RGBA,32,False,255,255,0,0,,,,,
